Height,Northern_Gannet,Black_Legged_Kittiwake
1,0.098314355,0.0904433
2,0.088656966,0.082272912
3,0.079948181,0.07484057
4,0.072094795,0.068079578
5,0.065012764,0.061929266
6,0.0586263,0.056334451
7,0.052867066,0.051244937
8,0.047673441,0.046615067
9,0.042989857,0.042403311
10,0.038766212,0.038571894
11,0.034957324,0.035086455
12,0.031522454,0.031915741
13,0.028424867,0.029031324
14,0.025631438,0.026407347
15,0.023112295,0.024020287
16,0.020840504,0.02184875
17,0.018791776,0.019873273
18,0.016944208,0.018076154
19,0.01527805,0.016441289
20,0.013775492,0.014954029
21,0.012420471,0.013601051
22,0.011198506,0.012370233
23,0.010096536,0.011250548
24,0.009102781,0.010231966
25,0.008206622,0.009305364
26,0.00739848,0.00846244
27,0.006669716,0.007695644
28,0.00601254,0.006998107
29,0.005419928,0.00636358
30,0.004885544,0.005786378
31,0.004403673,0.005261329
32,0.003969163,0.004783728
33,0.003577367,0.004349294
34,0.003224091,0.003954134
35,0.002905558,0.003594703
36,0.002618356,0.003267779
37,0.002359411,0.002970429
38,0.00212595,0.002699985
39,0.001915471,0.002454019
40,0.001725719,0.002230322
41,0.001554658,0.002026885
42,0.001400454,0.001841879
43,0.001261451,0.001673642
44,0.001136156,0.001520658
45,0.001023222,0.001381552
46,0.000921436,0.001255069
47,0.000829701,0.00114007
48,0.000747029,0.001035518
49,0.000672531,0.000940468
50,0.000605401,0.000854063
51,0.000544915,0.000775519
52,0.000490419,0.000704127
53,0.000441323,0.000639239
54,0.000397096,0.000580268
55,0.000357258,0.000526677
56,0.000321377,0.000477979
57,0.000289062,0.000433731
58,0.000259961,0.00039353
59,0.000233758,0.000357009
60,0.000210165,0.000323833
61,0.000188926,0.0002937
62,0.000169807,0.000266332
63,0.000152599,0.000241479
64,0.000137113,0.000218912
65,0.000123177,0.000198423
66,0.000110639,0.000179822
67,9.94E-05,0.000162938
68,8.92E-05,0.000147614
69,8.01E-05,0.000133708
70,7.19E-05,0.00012109
71,6.45E-05,0.000109642
72,5.79E-05,9.93E-05
73,5.19E-05,8.98E-05
74,4.66E-05,8.13E-05
75,4.17E-05,7.36E-05
76,3.74E-05,6.65E-05
77,3.35E-05,6.02E-05
78,3.00E-05,5.44E-05
79,2.69E-05,4.92E-05
80,2.41E-05,4.44E-05
81,2.16E-05,4.02E-05
82,1.93E-05,3.63E-05
83,1.73E-05,3.28E-05
84,1.55E-05,2.96E-05
85,1.38E-05,2.67E-05
86,1.24E-05,2.41E-05
87,1.10E-05,2.17E-05
88,9.87E-06,1.96E-05
89,8.82E-06,1.77E-05
90,7.87E-06,1.59E-05
91,7.03E-06,1.43E-05
92,6.27E-06,1.29E-05
93,5.59E-06,1.16E-05
94,4.99E-06,1.05E-05
95,4.45E-06,9.43E-06
96,3.96E-06,8.48E-06
97,3.53E-06,7.63E-06
98,3.14E-06,6.86E-06
99,2.80E-06,6.16E-06
100,2.49E-06,5.54E-06
101,2.21E-06,4.97E-06
102,1.97E-06,4.46E-06
103,1.75E-06,4.00E-06
104,1.55E-06,3.59E-06
105,1.38E-06,3.22E-06
106,1.22E-06,2.89E-06
107,1.09E-06,2.59E-06
108,9.63E-07,2.32E-06
109,8.53E-07,2.07E-06
110,7.56E-07,1.85E-06
111,6.69E-07,1.66E-06
112,5.92E-07,1.48E-06
113,5.24E-07,1.32E-06
114,4.63E-07,1.18E-06
115,4.09E-07,1.06E-06
116,3.61E-07,9.42E-07
117,3.19E-07,8.40E-07
118,2.81E-07,7.49E-07
119,2.48E-07,6.67E-07
120,2.19E-07,5.94E-07
121,1.93E-07,5.29E-07
122,1.70E-07,4.70E-07
123,1.49E-07,4.18E-07
124,1.31E-07,3.71E-07
125,1.15E-07,3.30E-07
126,1.01E-07,2.93E-07
127,8.87E-08,2.60E-07
128,7.78E-08,2.30E-07
129,6.82E-08,2.04E-07
130,5.97E-08,1.81E-07
131,5.23E-08,1.60E-07
132,4.57E-08,1.41E-07
133,4.00E-08,1.25E-07
134,3.49E-08,1.10E-07
135,3.05E-08,9.73E-08
136,2.66E-08,8.58E-08
137,2.32E-08,7.56E-08
138,2.02E-08,6.66E-08
139,1.75E-08,5.86E-08
140,1.53E-08,5.16E-08
141,1.33E-08,4.53E-08
142,1.15E-08,3.98E-08
143,9.98E-09,3.50E-08
144,8.65E-09,3.07E-08
145,7.49E-09,2.69E-08
146,6.49E-09,2.35E-08
147,5.61E-09,2.06E-08
148,4.84E-09,1.80E-08
149,4.18E-09,1.57E-08
150,3.61E-09,1.37E-08
151,3.11E-09,1.20E-08
152,2.67E-09,1.04E-08
153,2.30E-09,9.09E-09
154,1.98E-09,7.91E-09
155,1.70E-09,6.87E-09
156,1.46E-09,5.97E-09
157,1.25E-09,5.18E-09
158,1.07E-09,4.49E-09
159,9.12E-10,3.89E-09
160,7.80E-10,3.37E-09
161,6.65E-10,2.91E-09
162,5.67E-10,2.51E-09
163,4.83E-10,2.17E-09
164,4.11E-10,1.87E-09
165,3.49E-10,1.61E-09
166,2.96E-10,1.39E-09
167,2.51E-10,1.19E-09
168,2.13E-10,1.02E-09
169,1.80E-10,8.78E-10
170,1.52E-10,7.53E-10
171,1.29E-10,6.44E-10
172,1.08E-10,5.51E-10
173,9.13E-11,4.71E-10
174,7.68E-11,4.02E-10
175,6.46E-11,3.43E-10
176,5.42E-11,2.92E-10
177,4.54E-11,2.48E-10
178,3.80E-11,2.11E-10
179,3.18E-11,1.79E-10
180,2.66E-11,1.52E-10
181,2.21E-11,1.28E-10
182,1.84E-11,1.09E-10
183,1.53E-11,9.17E-11
184,1.27E-11,7.74E-11
185,1.06E-11,6.52E-11
186,8.76E-12,5.49E-11
187,7.25E-12,4.61E-11
188,5.99E-12,3.87E-11
189,4.94E-12,3.25E-11
190,4.07E-12,2.72E-11
191,3.35E-12,2.27E-11
192,2.75E-12,1.90E-11
193,2.26E-12,1.58E-11
194,1.85E-12,1.32E-11
195,1.51E-12,1.10E-11
196,1.24E-12,9.12E-12
197,1.01E-12,7.57E-12
198,8.22E-13,6.27E-12
199,6.68E-13,5.19E-12
200,5.42E-13,4.28E-12
201,4.40E-13,3.53E-12
202,3.56E-13,2.91E-12
203,2.87E-13,2.40E-12
204,2.32E-13,1.97E-12
205,1.87E-13,1.61E-12
206,1.50E-13,1.32E-12
207,1.21E-13,1.08E-12
208,9.66E-14,8.82E-13
209,7.73E-14,7.19E-13
210,6.17E-14,5.85E-13
211,4.92E-14,4.75E-13
212,3.92E-14,3.86E-13
213,3.11E-14,3.12E-13
214,2.47E-14,2.53E-13
215,1.95E-14,2.04E-13
216,1.54E-14,1.64E-13
217,1.22E-14,1.32E-13
218,9.58E-15,1.06E-13
219,7.53E-15,8.52E-14
220,5.90E-15,6.82E-14
221,4.62E-15,5.45E-14
222,3.61E-15,4.35E-14
223,2.82E-15,3.46E-14
224,2.19E-15,2.75E-14
225,1.70E-15,2.18E-14
226,1.32E-15,1.73E-14
227,1.02E-15,1.37E-14
228,7.89E-16,1.08E-14
229,6.08E-16,8.51E-15
230,4.67E-16,6.69E-15
231,3.59E-16,5.25E-15
232,2.75E-16,4.11E-15
233,2.10E-16,3.22E-15
234,1.60E-16,2.51E-15
235,1.22E-16,1.95E-15
236,9.24E-17,1.52E-15
237,7.00E-17,1.18E-15
238,5.29E-17,9.12E-16
239,3.99E-17,7.05E-16
240,3.01E-17,5.43E-16
241,2.26E-17,4.18E-16
242,1.69E-17,3.21E-16
243,1.26E-17,2.46E-16
244,9.42E-18,1.88E-16
245,7.01E-18,1.44E-16
246,5.20E-18,1.09E-16
247,3.85E-18,8.30E-17
248,2.85E-18,6.29E-17
249,2.10E-18,4.76E-17
250,1.54E-18,3.59E-17
251,1.13E-18,2.71E-17
252,8.28E-19,2.03E-17
253,6.04E-19,1.52E-17
254,4.40E-19,1.14E-17
255,3.19E-19,8.51E-18
256,2.31E-19,6.34E-18
257,1.67E-19,4.71E-18
258,1.20E-19,3.49E-18
259,8.65E-20,2.58E-18
260,6.20E-20,1.90E-18
261,4.43E-20,1.40E-18
262,3.16E-20,1.03E-18
263,2.25E-20,7.53E-19
264,1.59E-20,5.50E-19
265,1.13E-20,4.01E-19
266,7.95E-21,2.91E-19
267,5.59E-21,2.11E-19
268,3.92E-21,1.53E-19
269,2.74E-21,1.10E-19
270,1.91E-21,7.92E-20
271,1.33E-21,5.69E-20
272,9.22E-22,4.07E-20
273,6.38E-22,2.91E-20
274,4.40E-22,2.07E-20
275,3.02E-22,1.47E-20
276,2.07E-22,1.04E-20
277,1.42E-22,7.35E-21
278,9.64E-23,5.17E-21
279,6.55E-23,3.63E-21
280,4.44E-23,2.55E-21
281,2.99E-23,1.78E-21
