height,prob_lci,prob_med,prob_uci
0.5,0.06508,0.212745,0.33687075
1.5,0.00133,0.03271,0.11289
2.5,0.0012,0.013555,0.0619805
3.5,0.00153925,0.00924,0.04137075
4.5,0.00197975,0.00857,0.03366075
5.5,0.0026695,0.009015,0.0291335
6.5,0.0033395,0.00968,0.02589375
7.5,0.0040695,0.01047,0.023581012
8.5,0.00509,0.01128,0.021771
9.5,0.00593975,0.01213,0.02088
10.5,0.00698,0.012905,0.0204625
11.5,0.00786975,0.01361,0.0201905
12.5,0.00848975,0.014235,0.02011125
13.5,0.00917975,0.014805,0.02008025
14.5,0.0098,0.015325,0.02024125
15.5,0.01048725,0.015675,0.02009
16.5,0.01097,0.016,0.02008025
17.5,0.011140109,0.01625,0.02006
18.5,0.01137,0.0164,0.02
19.5,0.011670502,0.01649,0.01993025
20.5,0.0115795,0.01655,0.01984
21.5,0.0116895,0.01652,0.0197705
22.5,0.011658,0.01641,0.01968025
23.5,0.01186825,0.01631,0.0195
24.5,0.011680228,0.01616,0.0192605
25.5,0.0118285,0.01592,0.019
26.5,0.01195975,0.01568,0.01878025
27.5,0.011859,0.01543,0.01842025
28.5,0.01174975,0.01509,0.01807075
29.5,0.01158975,0.01479,0.01775
30.5,0.01138975,0.01444,0.01733025
31.5,0.011139717,0.01409,0.01705
32.5,0.01084975,0.01368,0.01660025
33.5,0.01061975,0.01334,0.01609
34.5,0.01026975,0.01292,0.01569
35.5,0.01004,0.01251,0.01519025
36.5,0.00971975,0.01209,0.01482
37.5,0.0093695,0.011705,0.01432025
38.5,0.0091,0.011285,0.0138605
39.5,0.00876,0.01091,0.01344
40.5,0.00838975,0.0105,0.01291
41.5,0.00809,0.01008,0.01251025
42.5,0.00775,0.00971,0.01203
43.5,0.00742975,0.009315,0.0116605
44.5,0.00712,0.008945,0.01112025
45.5,0.00679975,0.00854,0.0108605
46.5,0.0065395,0.00819,0.0102905
47.5,0.00625,0.00783141,0.00995
48.5,0.00593,0.00751,0.00962
49.5,0.00562,0.00713,0.00914
50.5,0.00538,0.00681,0.00882
51.5,0.00514975,0.00649,0.00837075
52.5,0.00486,0.006185,0.0081305
53.5,0.00462975,0.00588,0.00759125
54.5,0.00436,0.00559,0.00736025
55.5,0.00409,0.00531,0.00698
56.5,0.00390975,0.00505,0.006640008
57.5,0.00367975,0.0048,0.00632025
58.5,0.00351,0.00457,0.005991
59.5,0.00329,0.00432,0.00566025
60.5,0.0031,0.00411,0.00542
61.5,0.00287,0.003880019,0.00512025
62.5,0.00269975,0.0037,0.0049
63.5,0.00254,0.00348,0.0046505
64.5,0.00242,0.00332,0.00439025
65.5,0.00226,0.00313,0.00421
66.5,0.0021,0.00297,0.00399025
67.5,0.00194,0.00281,0.00377025
68.5,0.00183,0.00264,0.0036
69.5,0.00172,0.0025,0.00345
70.5,0.00157,0.00236,0.0032705
71.5,0.00149,0.00221,0.00315025
72.5,0.001350013,0.0021,0.00296
73.5,0.00127,0.00198,0.00281025
74.5,0.00118975,0.00186,0.0027
75.5,0.0011,0.00176,0.00255
76.5,0.001,0.00166,0.00243025
77.5,0.00093,0.00155,0.0023
78.5,0.00088,0.00147,0.00218
79.5,0.00080975,0.00138,0.0021
80.5,0.00073,0.00129,0.002
81.5,7.00E-04,0.00123,0.00188025
82.5,0.00062,0.00115,0.00181
83.5,0.00057,0.00108,0.001720001
84.5,0.00054,0.00102,0.00168
85.5,0.00049,0.00096,0.00156
86.5,0.00046,0.00091,0.00149
87.5,0.00042,0.00085,0.00143
88.5,0.00039,0.00079,0.001370397
89.5,0.00035,0.00075,0.00129025
90.5,0.00032,7.00E-04,0.00125
91.5,3.00E-04,0.00066,0.00118
92.5,0.00026975,0.00062,0.00111
93.5,0.00024,0.00059,0.00107
94.5,0.00022,0.00054,0.00103
95.5,0.00021,0.00051,0.00099
