height,prob_lci,prob_med,prob_uci
0.5,0.00410975,0.01202,0.030293
1.5,0.01178975,0.019405,0.0296305
2.5,0.0152795,0.023235,0.03289025
3.5,0.01714925,0.02653,0.03735275
4.5,0.0191395,0.030075,0.04423125
5.5,0.0216695,0.03484,0.05146025
6.5,0.02530875,0.04164,0.057064
7.5,0.03009825,0.050235,0.06224025
8.5,0.03855975,0.058625,0.0675505
9.5,0.04970975,0.064565,0.0739805
10.5,0.0569275,0.06908,0.08219275
11.5,0.0561895,0.070035,0.09064275
12.5,0.0528885,0.067895,0.09309625
13.5,0.049059,0.06318,0.0880255
14.5,0.044409,0.056595,0.07728125
15.5,0.0397095,0.04923,0.0641545
16.5,0.03406925,0.041605,0.05241075
17.5,0.02773925,0.0346,0.04267125
18.5,0.020769,0.028695,0.03504075
19.5,0.01586925,0.023605,0.0289705
20.5,0.01237925,0.01932,0.02422025
21.5,0.0098395,0.01574,0.0203605
22.5,0.008039,0.01286,0.01730025
23.5,0.0066895,0.01062,0.01464
24.5,0.00562975,0.00883,0.01241
25.5,0.00479,0.00744,0.01064025
26.5,0.00406975,0.00634,0.00915
27.5,0.00355975,0.00541,0.00778
28.5,0.00297,0.00469,0.0067115
29.5,0.00265,0.00409,0.0058105
30.5,0.00232975,0.00359,0.00503025
31.5,0.00205975,0.00316,0.00439
32.5,0.00180975,0.002785,0.00388025
33.5,0.00157,0.00246,0.00341025
34.5,0.0014,0.00219,0.00303025
35.5,0.00123975,0.001935,0.0027
36.5,0.0011,0.00173,0.00242025
37.5,0.00096,0.00155,0.00218
38.5,0.00084,0.00138,0.00196
39.5,0.00076,0.00124,0.00178
40.5,0.00066,0.0011,0.00161
41.5,0.00058975,0.001005,0.00142
42.5,0.00051,9.00E-04,0.00130025
43.5,0.00044,8.00E-04,0.00119
44.5,4.00E-04,0.00072,0.00109
45.5,0.00035,0.00065,0.001
46.5,3.00E-04,0.00058,0.00091
47.5,0.00026,0.00052,0.00083
48.5,0.00021,0.00047,0.00076025
49.5,0.00019,0.00042,7.00E-04
50.5,0.00017,0.00038,0.00065
51.5,0.00014,0.00034,0.00059
52.5,0.00012,0.00031,0.00054
53.5,0.00011,0.00027,5.00E-04
54.5,9.00E-05,0.00025,0.00047
55.5,7.00E-05,0.00022,0.00043
56.5,6.00E-05,2.00E-04,4.00E-04
57.5,5.00E-05,0.00018,0.00037
58.5,4.00E-05,0.00016,0.00034
59.5,4.00E-05,0.00014,0.00031
60.5,3.00E-05,0.00013,0.00029
61.5,3.00E-05,0.00012,0.00027
62.5,2.00E-05,1.00E-04,0.00025
63.5,2.00E-05,9.00E-05,0.00024
64.5,1.00E-05,9.00E-05,0.00022
65.5,1.00E-05,8.00E-05,2.00E-04
66.5,1.00E-05,7.00E-05,0.00019
67.5,0,6.00E-05,0.00018
68.5,0,6.00E-05,0.00017
69.5,0,5.00E-05,0.00015
70.5,0,4.00E-05,0.00014
71.5,0,4.00E-05,0.00014
72.5,0,3.00E-05,0.00013
73.5,0,3.00E-05,0.00012
74.5,0,3.00E-05,0.00011
75.5,0,3.00E-05,1.00E-04
